TimeInterval,GantryID,Direction,VehicleType,交通量
2024-02-27 13:35,林口(北)-林口(南),南下,大客車,7
2024-02-27 13:35,林口(北)-林口(南),南下,大貨車,17
2024-02-27 13:35,林口(北)-林口(南),南下,聯結車,15
2024-02-27 13:35,桃園(北)-林口(南),北上,小客車,338
2024-02-27 13:35,桃園(北)-林口(南),北上,小貨車,121
2024-02-27 13:35,桃園(北)-林口(南),北上,大客車,8
2024-02-27 13:35,桃園(北)-林口(南),北上,大貨車,45
2024-02-27 13:35,桃園(北)-林口(南),北上,聯結車,22
2024-02-27 13:35,林口(南)-桃園(北),南下,小客車,299
2024-02-27 13:35,林口(南)-桃園(北),南下,小貨車,145
2024-02-27 13:35,林口(南)-桃園(北),南下,大客車,7
2024-02-27 13:35,林口(南)-桃園(北),南下,大貨車,36
2024-02-27 13:35,林口(南)-桃園(北),南下,聯結車,14
2024-02-27 13:35,桃園(南)-桃園(北),北上,小客車,210
2024-02-27 13:35,桃園(南)-桃園(北),北上,小貨車,88
2024-02-27 13:35,桃園(南)-桃園(北),北上,大客車,4
2024-02-27 13:35,桃園(南)-桃園(北),北上,大貨車,35
2024-02-27 13:35,桃園(南)-桃園(北),北上,聯結車,17
2024-02-27 13:35,桃園(北)-桃園(南),南下,小客車,190
2024-02-27 13:35,桃園(北)-桃園(南),南下,小貨車,81
2024-02-27 13:35,桃園(北)-桃園(南),南下,大客車,5
2024-02-27 13:35,桃園(北)-桃園(南),南下,大貨車,33
2024-02-27 13:35,桃園(北)-桃園(南),南下,聯結車,5
2024-02-27 13:35,機場系統-桃園(南),北上,小客車,357
2024-02-27 13:35,機場系統-桃園(南),北上,小貨車,141
2024-02-27 13:35,機場系統-桃園(南),北上,大客車,3
2024-02-27 13:35,機場系統-桃園(南),北上,大貨車,50
2024-02-27 13:35,機場系統-桃園(南),北上,聯結車,21
2024-02-27 13:35,桃園(南)-機場系統,南下,小客車,275
2024-02-27 13:35,桃園(南)-機場系統,南下,小貨車,149
2024-02-27 13:35,桃園(南)-機場系統,南下,大客車,8
2024-02-27 13:35,桃園(南)-機場系統,南下,大貨車,46
2024-02-27 13:35,桃園(南)-機場系統,南下,聯結車,22
2024-02-27 13:35,中壢服務區-機場系統,北上,小客車,283
2024-02-27 13:35,中壢服務區-機場系統,北上,小貨車,122
2024-02-27 13:35,中壢服務區-機場系統,北上,大客車,6
2024-02-27 13:35,中壢服務區-機場系統,北上,大貨車,38
2024-02-27 13:35,中壢服務區-機場系統,北上,聯結車,17
2024-02-27 13:35,機場系統-中壢服務區,南下,小客車,228
2024-02-27 13:35,機場系統-中壢服務區,南下,小貨車,85
2024-02-27 13:35,機場系統-中壢服務區,南下,大客車,3
2024-02-27 13:35,機場系統-中壢服務區,南下,大貨車,32
2024-02-27 13:35,機場系統-中壢服務區,南下,聯結車,25
2024-02-27 13:35,內壢-中壢服務區,北上,小客車,290
2024-02-27 13:35,內壢-中壢服務區,北上,小貨車,136
2024-02-27 13:35,內壢-中壢服務區,北上,大客車,4
2024-02-27 13:35,內壢-中壢服務區,北上,大貨車,41
2024-02-27 13:35,內壢-中壢服務區,北上,聯結車,20
2024-02-27 13:35,中壢服務區-內壢,南下,小客車,270
2024-02-27 13:35,中壢服務區-內壢,南下,小貨車,107
2024-02-27 13:35,中壢服務區-內壢,南下,大客車,4
2024-02-27 13:35,中壢服務區-內壢,南下,大貨車,46
2024-02-27 13:35,中壢服務區-內壢,南下,聯結車,24
2024-02-27 13:35,內壢-中壢,南下,小客車,190
2024-02-27 13:35,內壢-中壢,南下,小貨車,92
2024-02-27 13:35,內壢-中壢,南下,大客車,3
2024-02-27 13:35,內壢-中壢,南下,大貨車,39
2024-02-27 13:35,內壢-中壢,南下,聯結車,20
2024-02-27 13:35,中壢-內壢,北上,小客車,245
2024-02-27 13:35,中壢-內壢,北上,小貨車,126
2024-02-27 13:35,中壢-內壢,北上,大客車,4
2024-02-27 13:35,中壢-內壢,北上,大貨車,33
2024-02-27 13:35,中壢-內壢,北上,聯結車,20
2024-02-27 13:35,平鎮系統-中壢,北上,小客車,218
2024-02-27 13:35,平鎮系統-中壢,北上,小貨車,92
2024-02-27 13:35,平鎮系統-中壢,北上,大客車,4
2024-02-27 13:35,平鎮系統-中壢,北上,大貨車,48
2024-02-27 13:35,平鎮系統-中壢,北上,聯結車,20
2024-02-27 13:35,中壢-平鎮系統,南下,小客車,179
2024-02-27 13:35,中壢-平鎮系統,南下,小貨車,112
2024-02-27 13:35,中壢-平鎮系統,南下,大客車,0
2024-02-27 13:35,中壢-平鎮系統,南下,大貨車,40
2024-02-27 13:35,中壢-平鎮系統,南下,聯結車,18
2024-02-27 13:35,幼獅-平鎮系統,北上,小客車,178
2024-02-27 13:35,幼獅-平鎮系統,北上,小貨車,85
2024-02-27 13:35,幼獅-平鎮系統,北上,大客車,10
2024-02-27 13:35,幼獅-平鎮系統,北上,大貨車,51
2024-02-27 13:35,幼獅-平鎮系統,北上,聯結車,24
2024-02-27 13:35,平鎮系統-幼獅,南下,小客車,144
2024-02-27 13:35,平鎮系統-幼獅,南下,小貨車,85
2024-02-27 13:35,平鎮系統-幼獅,南下,大客車,0
2024-02-27 13:35,平鎮系統-幼獅,南下,大貨車,41
2024-02-27 13:35,平鎮系統-幼獅,南下,聯結車,22
2024-02-27 13:35,楊梅-幼獅,北上,小客車,162
2024-02-27 13:35,楊梅-幼獅,北上,小貨車,85
2024-02-27 13:35,楊梅-幼獅,北上,大客車,5
2024-02-27 13:35,楊梅-幼獅,北上,大貨車,48
2024-02-27 13:35,楊梅-幼獅,北上,聯結車,27
2024-02-27 13:35,幼獅-楊梅,南下,小客車,136
2024-02-27 13:35,幼獅-楊梅,南下,小貨車,60
2024-02-27 13:35,幼獅-楊梅,南下,大客車,0
2024-02-27 13:35,幼獅-楊梅,南下,大貨車,44
2024-02-27 13:35,幼獅-楊梅,南下,聯結車,12
2024-02-27 13:35,楊梅端-楊梅,北上,小客車,111
2024-02-27 13:35,楊梅端-楊梅,北上,小貨車,67
2024-02-27 13:35,楊梅端-楊梅,北上,大客車,4
2024-02-27 13:35,楊梅端-楊梅,北上,大貨車,38
2024-02-27 13:35,楊梅端-楊梅,北上,聯結車,15
2024-02-27 13:35,楊梅-楊梅端,南下,小客車,104
2024-02-27 13:35,楊梅-楊梅端,南下,小貨車,38
2024-02-27 13:35,楊梅-楊梅端,南下,大客車,0
2024-02-27 13:35,楊梅-楊梅端,南下,大貨車,28
2024-02-27 13:35,楊梅-楊梅端,南下,聯結車,13
2024-02-27 13:35,湖口-楊梅端,北上,小客車,217
2024-02-27 13:35,湖口-楊梅端,北上,小貨車,104
2024-02-27 13:35,湖口-楊梅端,北上,大客車,3
2024-02-27 13:35,湖口-楊梅端,北上,大貨車,33
2024-02-27 13:35,湖口-楊梅端,北上,聯結車,15
2024-02-27 13:35,楊梅端-湖口,南下,小客車,223
2024-02-27 13:35,楊梅端-湖口,南下,小貨車,77
2024-02-27 13:35,楊梅端-湖口,南下,大客車,4
2024-02-27 13:35,楊梅端-湖口,南下,大貨車,32
2024-02-27 13:35,楊梅端-湖口,南下,聯結車,22
2024-02-27 13:35,竹北-湖口,北上,小客車,241
2024-02-27 13:35,竹北-湖口,北上,小貨車,117
2024-02-27 13:35,竹北-湖口,北上,大客車,6
2024-02-27 13:35,竹北-湖口,北上,大貨車,34
2024-02-27 13:35,竹北-湖口,北上,聯結車,25
2024-02-27 13:35,湖口-竹北,南下,小客車,284
2024-02-27 13:35,湖口-竹北,南下,小貨車,106
2024-02-27 13:35,湖口-竹北,南下,大客車,8
2024-02-27 13:35,湖口-竹北,南下,大貨車,32
2024-02-27 13:35,湖口-竹北,南下,聯結車,22
2024-02-27 13:35,新竹(北)-竹北,北上,小客車,241
2024-02-27 13:35,新竹(北)-竹北,北上,小貨車,132
2024-02-27 13:35,新竹(北)-竹北,北上,大客車,7
2024-02-27 13:35,新竹(北)-竹北,北上,大貨車,27
2024-02-27 13:35,新竹(北)-竹北,北上,聯結車,28
2024-02-27 13:35,竹北-新竹(北),南下,小客車,261
2024-02-27 13:35,竹北-新竹(北),南下,小貨車,95
2024-02-27 13:35,竹北-新竹(北),南下,大客車,10
2024-02-27 13:35,竹北-新竹(北),南下,大貨車,25
2024-02-27 13:35,竹北-新竹(北),南下,聯結車,13
2024-02-27 13:35,新竹(北)-新竹(南),南下,小客車,141
2024-02-27 13:35,新竹(北)-新竹(南),南下,小貨車,53
2024-02-27 13:35,新竹(北)-新竹(南),南下,大客車,4
