Date,Time,Class,RoadSection,Highway,Direction
2023-02-16,15:10,A2,土城交流道-樹林交流道,國道3號,S
2023-02-19,14:45,A2,中和交流道-土城交流道,國道3號,N
2023-02-22,11:30,A2,土城交流道-樹林交流道,國道3號,S
2023-02-27,09:20,A2,樹林交流道-三鶯交流道,國道3號,S
2023-02-27,13:50,A2,樹林交流道-三鶯交流道,國道3號,N
2023-02-27,16:50,A2,中和交流道-土城交流道,國道3號,N
2023-02-28,10:25,A2,樹林交流道-三鶯交流道,國道3號,N
2023-02-28,11:35,A2,安坑交流道-中和交流道,國道3號,N
2023-02-02,05:00,A2,大溪交流道-龍潭交流道,國道3號,N
2023-02-04,08:10,A2,鶯歌系統交流道-大溪交流道,國道3號,N
2023-02-13,16:00,A2,鶯歌系統交流道-大溪交流道,國道3號,S
2023-02-18,13:25,A2,鶯歌系統交流道-大溪交流道,國道3號,N
2023-02-21,13:10,A2,三鶯交流道-鶯歌系統交流道,國道3號,N
2023-02-20,14:30,A2,大溪交流道-龍潭交流道,國道3號,N
2023-02-26,02:20,A2,三鶯交流道-鶯歌系統交流道,國道3號,N
2023-02-05,07:50,A2,大溪交流道-龍潭交流道,國道3號,N
2023-02-11,17:50,A2,鶯歌系統交流道-大溪交流道,國道3號,S
2023-02-02,08:10,A2,茄苳交流道-香山交流道,國道3號,S
2023-02-15,10:25,A2,寶山交流道-新竹系統交流道,國道3號,S
2023-02-19,15:35,A2,新竹系統交流道-茄苳交流道,國道3號,N
2023-02-16,07:35,A2,新竹系統交流道-茄苳交流道,國道3號,N
2023-02-27,18:10,A2,關西交流道-竹林交流道,國道3號,N
2023-02-27,21:30,A2,竹林交流道-寶山交流道,國道3號,N
2023-02-25,09:50,A2,田寮交流道-燕巢系統交流道,國道3號,S
2023-02-11,13:10,A2,屏東交流道-長治交流道,國道3號,N
2023-02-26,14:50,A2,屏東交流道-長治交流道,國道3號,S
2023-02-26,16:05,A2,屏東交流道-長治交流道,國道3號,N
2023-02-20,13:55,A2,崁頂交流道-南州交流道,國道3號,S
2023-02-08,09:40,A2,五甲交流道-高雄端,國道1號,N
2023-02-10,17:55,A2,高雄交流道-瑞隆路出口匝道,國道1號,N
2023-02-11,11:05,A2,路竹交流道-高科交流道,國道1號,S
2023-02-14,14:10,A2,鼎金系統交流道-高雄交流道,國道1號,N
2023-02-09,10:20,A2,岡山交流道-楠梓交流道,國道1號,N
2023-02-10,10:55,A2,岡山交流道-楠梓交流道,國道1號,N
2023-02-08,08:35,A2,岡山交流道-楠梓交流道,國道1號,N
2023-02-11,09:45,A2,岡山交流道-楠梓交流道,國道1號,N
2023-02-04,17:50,A2,鼎金系統交流道-高雄交流道,國道1號,S
2023-02-12,15:30,A2,楠梓交流道-鼎金系統交流道,國道1號,N
2023-02-24,07:50,A2,楠梓交流道-鼎金系統交流道,國道1號,S
2023-02-07,16:40,A2,楠梓交流道-鼎金系統交流道,國道1號,S
2023-02-01,07:55,A2,台南系統交流道-永康交流道,國道1號,N
2023-02-04,18:40,A2,仁德交流道-仁德系統交流道,國道1號,N
2023-02-07,14:35,A2,仁德交流道-仁德系統交流道,國道1號,S
2023-02-08,13:50,A2,仁德系統交流道-路竹交流道,國道1號,N
2023-02-22,20:00,A2,永康交流道-大灣交流道,國道1號,S
2023-02-25,10:45,A2,安定交流道-台南系統交流道,國道1號,S
2023-02-25,11:55,A2,永康交流道-大灣交流道,國道1號,N
2023-02-25,17:00,A2,仁德系統交流道-路竹交流道,國道1號,S
2023-02-27,12:00,A2,台南系統交流道-永康交流道,國道1號,N
2023-02-28,20:15,A2,永康交流道-大灣交流道,國道1號,N
2023-02-01,09:35,A2,嘉義系統交流道-新營交流道,國道1號,S
2023-02-18,13:50,A2,新營交流道-下營系統交流道,國道1號,S
2023-02-19,04:10,A2,嘉義系統交流道-新營交流道,國道1號,S
2023-02-21,14:20,A2,新營交流道-下營系統交流道,國道1號,S
2023-02-23,14:25,A2,新營交流道-下營系統交流道,國道1號,N
2023-02-08,20:30,A2,新營交流道-下營系統交流道,國道1號,S
2023-02-25,05:00,A2,嘉義系統交流道-新營交流道,國道1號,S
2023-02-25,12:05,A2,麻豆交流道-安定交流道,國道1號,S
2023-02-26,18:55,A2,新營交流道-下營系統交流道,國道1號,S
2023-02-21,15:00,A2,新營交流道-下營系統交流道,國道1號,S
2023-02-28,11:30,A2,麻豆交流道-安定交流道,國道1號,N
2023-02-06,15:15,A2,大林交流道-民雄交流道,國道1號,N
2023-02-06,20:10,A2,雲林系統交流道-大林交流道,國道1號,N
2023-02-09,05:00,A2,民雄交流道-嘉義交流道,國道1號,S
2023-02-13,23:35,A2,斗南交流道-雲林系統交流道,國道1號,S
2023-02-13,20:25,A2,斗南交流道-雲林系統交流道,國道1號,S
2023-02-15,16:00,A2,斗南交流道-雲林系統交流道,國道1號,S
2023-02-20,10:00,A2,雲林系統交流道-大林交流道,國道1號,N
2023-02-23,15:45,A2,嘉義交流道-水上交流道,國道1號,S
2023-02-01,02:35,A2,彰化系統交流道-彰化交流道,國道1號,S
2023-02-01,11:15,A2,彰化交流道-埔鹽系統交流道,國道1號,N
2023-02-04,10:45,A2,彰化交流道-埔鹽系統交流道,國道1號,S
2023-02-04,19:45,A2,彰化交流道-埔鹽系統交流道,國道1號,N
2023-02-06,02:50,A2,北斗交流道-西螺交流道,國道1號,S
2023-02-09,02:10,A2,埔鹽系統交流道-員林交流道,國道1號,N
2023-02-11,10:45,A2,員林交流道-北斗交流道,國道1號,N
2023-02-11,13:50,A2,員林交流道-北斗交流道,國道1號,N
2023-02-13,23:40,A2,員林交流道-北斗交流道,國道1號,N
2023-02-12,11:05,A2,彰化系統交流道-彰化交流道,國道1號,N
2023-02-15,17:50,A2,埔鹽系統交流道-員林交流道,國道1號,S
2023-02-16,06:00,A2,彰化交流道-埔鹽系統交流道,國道1號,N
2023-02-16,15:35,A2,彰化交流道-埔鹽系統交流道,國道1號,N
